dir	name	description	files	size_mb
uipath-maestro-bpmn	uipath-maestro-bpmn	"""UiPath Maestro BPMN / Process Orchestration: author (registry-driven), validate, package, operate, "	17	0.2
uipath-maestro-case	uipath-maestro-case	"""Always invoke for UiPath Maestro Case Management build work: `caseplan.json`, `sdd.md`, or building"	67	0.9
uipath-maestro-flow	uipath-maestro-flow	"""TRIGGER for `.flow` files, UiPath Flow / Maestro Flow build or edit requests, adding or listing IXP"	95	0.9
uipath-mcp-servers	uipath-mcp-servers	"""UiPath AgentHub MCP server registration + resource-tool authoring via `uip agenthub mcp` (six serve"	2	0.0
uipath-planner	uipath-planner	"""UiPath solution planner & designer. Always invoke for PDD / SDD files (`pdd.md`, `*-sdd.md`). Autho"	30	0.6
uipath-platform	uipath-platform	"""UiPath platform ops via the uip CLI — use for ANY task hitting UiPath Cloud / Orchestrator / Studio"	42	0.4
uipath-process-mining	uipath-process-mining	"""UiPath Process Mining via `uip pm` — build and operate a process app end-to-end from a CSV / event "	10	0.1
uipath-review	uipath-review	"""UiPath read-only reviewer — audit structure, quality, best practices for RPA (.xaml/.cs), agents (."	25	0.4
uipath-rpa	uipath-rpa	"""Always invoke for `.xaml` or `.cs` workflow files. UiPath RPA — create, edit, build, run, debug `.c"	703	3.4
uipath-skill-catalog	uipath-skill-catalog	"""Use first for UiPath requests when selecting among installed UiPath skills. Provides progressive di"	4	0.1
uipath-solution	uipath-solution	"""Always invoke for `.uipx` files. UiPath Solution lifecycle via the `uip solution` CLI: init/restore"	13	0.1
uipath-tasks	uipath-tasks	"""UiPath Action Center human-in-the-loop tasks via `uip tasks`: list, assign, complete, plus task cat"	9	0.0
uipath-test	uipath-test	"""UiPath Test Manager — manage test projects, cases, sets, executions; generate reports; package and "	5	0.1
uipath-troubleshoot	uipath-troubleshoot	"""UiPath causal investigation across every product, runtime, and activity package. Use when the prima"	455	2.3
vocab-highlight	vocab-highlight	返信の中の難しい英単語を太字＋日本語グロスで目立たせ、さらに返信末尾に「Tips 単語コーナー」を append して IT・マーケティング・各ドメインの専門用語を少しずつ増やす。起動ワード「難しい英	32	0.0
win-tips	win-tips	Windows 11 の小技・自動化スクリプト集。実体は C:\Users\0501JP\win-tips。「win-tips」「Windowsの小技」「Windows tips」「小技」「Copil	32	0.0
writing	writing	W（Writing / 文章のための層）。文章を書く・整える・売れる形にするための実践スキル。ブログ記事、技術書、企画書、解説、note/Zenn、原稿の執筆・推敲・構成に使う。起動ワード「writi	32	0.0
wx	wx	WX（Work X / Agent Experience）。リポジトリ bonsai/WX の定義に沿って、Agent Experience を実際の Work として回す。基本ループは MX（見つけ	1	0.0
